survey_year,year,boys,girls,total
1999-00,1972-73,1972,3770621,1972
1999-00,1973-74,1973,4070125,1973
1999-00,1975-76,1975,4109021,1975
1999-00,1977-78,1977,4367442,1977
1999-00,1978-79,1978,3709512,1978
1999-00,1979-80,1979,3517829,1979
1999-00,1980-81,1980,3503124,1980
1999-00,1981-82,1981,3409081,1981
1999-00,1982-83,1982,3355558,1982
1999-00,1983-84,1983,3303599,1983
1999-00,1984-85,1984,3354284,1984
1999-00,1985-86,1985,3344275,1985
1999-00,1986-87,1986,3364082,1986
1999-00,1987-88,1987,3425777,1987
1999-00,1988-89,1988,3416844,1988
1999-00,1989-90,1989,3398192,1989
1999-00,1990-91,1990,3406355,1990
1999-00,1991-92,1991,3429853,1991
1999-00,1992-93,1992,3416389,1992
1999-00,1993-94,1993,3472967,1993
1999-00,1994-95,1994,3536359,1994
1999-00,1995-96,1995,3634052,1995
1999-00,1996-97,1996,3706225,1996
1999-00,1997-98,1997,3763120,4997
1999-00,1998-99,1998,3832352,1998
