survey_year,gender,state,sport,schools,participants
1997-98,Girls,Alabama,Basketball,389.0,5891.0
1997-98,Girls,Alabama,Cross Country,48.0,501.0
1997-98,Girls,Alaska,Basketball,105.0,1827.0
1997-98,Girls,Alaska,Competitive Spirit Squads,13.0,224.0
1997-98,Girls,Alaska,Cross Country,78.0,
1997-98,Girls,Arizona,Basketball,185.0,5560.0
1997-98,Girls,Arizona,Cross Country,133.0,1560.0
1997-98,Girls,Arkansas,Basketball,337.0,5330.0
1997-98,Girls,Arkansas,Cross Country,94.0,493.0
1997-98,Girls,California,Basketball,1098.0,30979.0
1997-98,Girls,California,Cross Country,839.0,14245.0
1997-98,Girls,California,Field Hockey,63.0,2111.0
1997-98,Girls,Colorado,Basketball,282.0,7401.0
1997-98,Girls,Colorado,Competitive Spirit Squads,126.0,2559.0
1997-98,Girls,Colorado,Cross Country,176.0,
1997-98,Girls,Colorado,Field Hockey,,214.0
1997-98,Girls,Connecticut,Basketball,169.0,4016.0
1997-98,Girls,Connecticut,Cross Country,149.0,2013.0
1997-98,Girls,Connecticut,Field Hockey,,2884.0
1997-98,Girls,Delaware,Basketball,41.0,1074.0
1997-98,Girls,Delaware,Cross Country,34.0,495.0
1997-98,Girls,Delaware,Field Hockey,39.0,1512.0
1997-98,Girls,District of Columbia,Basketball,,154.0
1997-98,Girls,District of Columbia,Competitive Spirit Squads,10.0,204.0
1997-98,Girls,District of Columbia,Cross Country,,72.0
1997-98,Girls,Florida,Basketball,447.0,10552.0
1997-98,Girls,Florida,Cross Country,365.0,4880.0
1997-98,Girls,Georgia,Basketball,340.0,8916.0
1997-98,Girls,Georgia,Competitive Spirit Squads,205.0,3535.0
1997-98,Girls,Georgia,Cross Country,264.0,
1997-98,Girls,Hawaii,Basketball,78.0,1645.0
1997-98,Girls,Hawaii,Competitive Spirit Squads,44.0,668.0
1997-98,Girls,Hawaii,Cross Country,58.0,750.0
1997-98,Girls,Illinois,Basketball,588.0,
1997-98,Girls,Illinois,Cross Country,394.0,5985.0
1997-98,Girls,Indiana,Basketball,380.0,12466.0
1997-98,Girls,Indiana,Cross Country,853.0,3232.0
1997-98,Girls,Indiana,Competitive Spirit Squads,44.0,879.0
1997-98,Girls,Kansas,Basketball,365.0,7004.0
1997-98,Girls,Kansas,Cross Country,242.0,2302.0
1997-98,Girls,Kentucky,Basketball,274.0,6055.0
1997-98,Girls,Kentucky,Competitive Spirit Squads,17.0,
1997-98,Girls,Kentucky,Cross Country,215.0,2360.0
1997-98,Girls,Kentucky,Field Hockey,15.0,621.0
1997-98,Girls,Louisiana,Basketball,376.0,
1997-98,Girls,Louisiana,Cross Country,204.0,1224.0
